Var1,Var2
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=134624,y=52192,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=53088,y=38080,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=21952,y=44800,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=112672,y=31584,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=25088,y=9408,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=76608,y=32256,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=99904,y=29568,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=114464,y=34720,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=105952,y=48608,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=131712,y=51520,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=120064,y=34048,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=108864,y=49280,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-A5EN-01Z-00-DX1.C389C26A-2B88-4DCA-9B32-FEECDFFC35A6 [x=47264,y=16352,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=120960,y=30240,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=75264,y=30016,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-A5EN-01Z-00-DX1.C389C26A-2B88-4DCA-9B32-FEECDFFC35A6 [x=79072,y=21504,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=132160,y=51072,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=124320,y=32032,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=53536,y=39424,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=113344,y=42336,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=27328,y=7168,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=122752,y=31808,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=46144,y=25536,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=110656,y=34720,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=79072,y=30464,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=123200,y=33376,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-77-8145-01Z-00-DX1.9d76de05-3cb7-4cd8-879b-11ea7f88d583 [x=34496,y=48160,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=27552,y=8512,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=99232,y=27776,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=124096,y=30688,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=113344,y=31136,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=79744,y=31360,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=109312,y=49280,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=123648,y=30912,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=109312,y=47488,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=23072,y=48832,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=49504,y=25536,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=122304,y=34944,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=79520,y=33600,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=28000,y=6272,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-77-8145-01Z-00-DX1.9d76de05-3cb7-4cd8-879b-11ea7f88d583 [x=36960,y=28672,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=131488,y=54880,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=54656,y=37408,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=30016,y=43008,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=23520,y=48160,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=23072,y=36064,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-66-2771-01Z-00-DX1.b84a28ec-2726-4386-9445-0f5ca351d985 [x=30912,y=25984,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-66-2771-01Z-00-DX1.b84a28ec-2726-4386-9445-0f5ca351d985 [x=32256,y=16800,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=98784,y=27328,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=111776,y=32704,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-66-2771-01Z-00-DX1.b84a28ec-2726-4386-9445-0f5ca351d985 [x=32928,y=16800,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=113568,y=33376,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=53312,y=36736,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=122976,y=33824,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=50624,y=35392,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=25984,y=8064,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=79072,y=30688,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=134176,y=54432,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=34272,y=43008,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-66-2771-01Z-00-DX1.b84a28ec-2726-4386-9445-0f5ca351d985 [x=30688,y=25984,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=18368,y=19712,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=109760,y=49728,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-37-3792-01Z-00-DX1.d95a9f5f-5bad-48fc-9f90-ed2580328b80 [x=123200,y=31584,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7812-01Z-00-DX1.dd6fa49a-f9fe-40a1-80b2-0824b128f3b2 [x=132608,y=55104,w=224,h=224].png",1
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-52-7811-01Z-00-DX1.7093a626-0e8f-4e4c-80c6-6cf32a2f725e [x=78176,y=31808,w=224,h=224].png",0
"D:\Users\sdammak\Data\LUSC\Tiles\LUSCCancerCells_QuPath_2_3\224Px_AllCancer\TCGA-21-5787-01Z-00-DX1.FEE037E3-B9B0-4C2E-97EF-D6E4F64E1DF9 [x=45472,y=25312,w=224,h=224].png",1
